Year,GVA at Basic Prices,Net taxes on products,Gross Domestic Product,Consumption of Fixed Capital,Net Domestic Product,Primary income receivable from ROW (net),Gross National Income,Net National Income,Gross Capital Formation,Net Capital Formation,Per Capita GDP (₹),Per Capita GNI (₹),Per Capita NNI (₹),Per Capita PFCE (₹)
2024-25   ,17187446.0,1609509.0,18796955.0,,16425021.0,,18523133.0,16151199.0,,,133501.0,131556.0,114710.0,75423.0
2023-24   ,16151477.0,1499114.0,17650591.0,2228967.0,15421624.0,-245953.0,17404638.0,15175671.0,6114637.0,3885671.0,126528.0,124764.0,108786.0,71016.0
2022-23   ,14878028.0,1286885.0,16164913.0,2087964.0,14076950.0,-225538.0,15939376.0,13851412.0,5697956.0,3609992.0,116892.0,115261.0,100163.0,67865.0
2021-22   ,13876840.0,1145006.0,15021846.0,1955788.0,13066058.0,-193926.0,14827920.0,12872132.0,5507561.0,3551773.0,109762.0,108345.0,94054.0,63807.0
2020-21   ,12687345.0,1007525.0,13694869.0,1832759.0,11862110.0,-200893.0,13493976.0,11661217.0,4392164.0,2559405.0,101038.0,99556.0,86034.0,57691.0
2019-20   ,13236100.0,1298540.0,14534641.0,1731178.0,12803462.0,-141741.0,14392900.0,12661722.0,4910593.0,3179415.0,108387.0,107330.0,94420.0,61568.0
2018-19   ,12733798.0,1259116.0,13992914.0,1614455.0,12378459.0,-152440.0,13840474.0,12226019.0,5225982.0,3611527.0,105448.0,104299.0,92133.0,59159.0
2017-18   ,12034171.0,1110412.0,13144582.0,1489921.0,11654661.0,-145888.0,12998695.0,11508774.0,4289515.0,2799595.0,100035.0,98925.0,87586.0,55789.0
2016-17   ,11328285.0,979909.0,12308193.0,1381526.0,10926667.0,-144575.0,12163619.0,10782092.0,4300879.0,2919353.0,94751.0,93638.0,83003.0,53120.0
2015-16   ,10491870.0,877623.0,11369493.0,1270890.0,10098603.0,-134922.0,11234571.0,9963681.0,3917358.0,2646468.0,88616.0,87565.0,77659.0,49738.0
2014-15   ,9712133.0,815541.0,10527674.0,1178644.0,9349029.0,-124687.0,10402987.0,9224343.0,3659763.0,2481119.0,83091.0,82107.0,72805.0,46667.0
2013-14   ,9063649.0,737721.0,9801370.0,1100610.0,8700760.0,-122343.0,9679027.0,8578417.0,3448236.0,2347626.0,78348.0,77370.0,68572.0,44423.0
2012-13   ,8546275.0,666741.0,9213017.0,1010661.0,8202356.0,-108354.0,9104662.0,8094001.0,3639296.0,2628635.0,74599.0,73722.0,65538.0,41936.0
2011-12   ,8106946.0,629383.0,8736329.0,917175.0,7819154.0,-76824.0,8659505.0,7742330.0,3403008.0,2485833.0,71609.0,70980.0,63462.0,40250.0
2010-11   ,7704514.0,596721.0,8301235.0,838432.0,7462803.0,-89419.0,8211816.0,7373384.0,3330444.0,2492012.0,69994.0,63682.0,62170.0,38543.0
2009-10   ,7131836.0,519242.0,7651078.0,768601.0,6882477.0,-44759.0,7606319.0,6837719.0,2772552.0,2003951.0,65394.0,54089.0,58442.0,36610.0
2008-09   ,6674215.0,419188.0,7093403.0,693547.0,6399855.0,-41212.0,7052191.0,6358644.0,2456984.0,1763437.0,61468.0,47498.0,55101.0,35349.0
2007-08   ,6398295.0,482712.0,6881007.0,633675.0,6247332.0,-28267.0,6852740.0,6219065.0,2663579.0,2029904.0,60466.0,42866.0,54649.0,34318.0
2006-07   ,5958367.0,433008.0,6391375.0,571823.0,5819552.0,-48986.0,6342389.0,5770565.0,2140999.0,1569176.0,56964.0,37624.0,51431.0,32445.0
2005-06   ,5514228.0,400386.0,5914614.0,521312.0,5393302.0,-41678.0,5872936.0,5351624.0,1943997.0,1422685.0,53478.0,32604.0,48387.0,31367.0
2004-05   ,5092503.0,387877.0,5480380.0,475848.0,5004532.0,-37442.0,5442938.0,4967090.0,1629848.0,1154000.0,50325.0,29054.0,45611.0,29646.0
2003-04   ,4757084.0,320965.0,5078049.0,434341.0,4643708.0,-34627.0,5043422.0,4609081.0,1278003.0,843661.0,47370.0,47047.0,42995.0,28635.0
2002-03   ,4406074.0,301910.0,4707984.0,408027.0,4299957.0,-31727.0,4676257.0,4268230.0,1104540.0,696513.0,44583.0,44283.0,40419.0,27443.0
2001-02   ,4241595.0,293861.0,4535456.0,386836.0,4148620.0,-35762.0,4499695.0,4112858.0,1026902.0,640066.0,43610.0,43266.0,39547.0,27088.0
2000-01   ,4024831.0,301905.0,4326736.0,362212.0,3964524.0,-39826.0,4286910.0,3924698.0,982058.0,619846.0,42461.0,42070.0,38515.0,26093.0
1999-00   ,3864524.0,302169.0,4166694.0,338732.0,3827961.0,-27402.0,4139292.0,3800560.0,1039498.0,700765.0,41625.0,41352.0,37968.0,25679.0
1998-99   ,3578123.0,249949.0,3828072.0,314177.0,3513895.0,-24577.0,3803495.0,3489318.0,883664.0,569488.0,38943.0,38693.0,35497.0,24650.0
1997-98   ,3353964.0,251152.0,3605116.0,294069.0,3311048.0,-23132.0,3581984.0,3287915.0,851485.0,557417.0,37397.0,37158.0,34107.0,23602.0
1996-97   ,3215638.0,249160.0,3464798.0,273400.0,3191399.0,-28362.0,3436436.0,3163037.0,741194.0,467794.0,36626.0,36326.0,33436.0,23353.0
1995-96   ,2978143.0,243441.0,3221584.0,257715.0,2963869.0,-29571.0,3192013.0,2934298.0,734517.0,476802.0,34715.0,34397.0,31620.0,22088.0
1994-95   ,2775834.0,218913.0,2994747.0,243289.0,2751458.0,-27493.0,2967254.0,2723964.0,681493.0,438204.0,32909.0,32607.0,29934.0,21233.0
1993-94   ,2608995.0,198785.0,2807779.0,228863.0,2578916.0,-27116.0,2780663.0,2551800.0,570398.0,341535.0,31477.0,31173.0,28608.0,20657.0
1992-93   ,2468738.0,211700.0,2680438.0,219479.0,2460959.0,-29806.0,2650632.0,2431154.0,557556.0,338077.0,30739.0,30397.0,27880.0,20251.0
1991-92   ,2343059.0,198064.0,2541123.0,207668.0,2333455.0,-29501.0,2511622.0,2303954.0,493742.0,286074.0,29686.0,29341.0,26915.0,20111.0
1990-91   ,2310015.0,204534.0,2514549.0,194275.0,2320274.0,-28195.0,2486353.0,2292078.0,591421.0,397145.0,29971.0,29635.0,27319.0,20085.0
1989-90   ,2194056.0,188646.0,2382703.0,181799.0,2200904.0,-22525.0,2360178.0,2178379.0,498293.0,316494.0,28987.0,28713.0,26501.0,19624.0
1988-89   ,2067262.0,181689.0,2248950.0,172019.0,2076931.0,-20994.0,2227956.0,2055937.0,460831.0,288812.0,27937.0,27676.0,25540.0,19091.0
1987-88   ,1876600.0,174842.0,2051442.0,164017.0,1887424.0,-14697.0,2036744.0,1872727.0,410346.0,246329.0,26034.0,25847.0,23766.0,18357.0
1986-87   ,1812537.0,160660.0,1973197.0,153473.0,1819724.0,-10946.0,1962251.0,1808778.0,362585.0,209112.0,25593.0,25451.0,23460.0,18140.0
1985-86   ,1737565.0,145678.0,1883243.0,145216.0,1738027.0,-9818.0,1873425.0,1728209.0,350029.0,204812.0,24944.0,24814.0,22890.0,17958.0
1984-85   ,1668141.0,121090.0,1789232.0,136779.0,1652453.0,-9825.0,1779406.0,1642628.0,324194.0,187415.0,24212.0,24079.0,22228.0,17611.0
1983-84   ,1604580.0,118805.0,1723386.0,128446.0,1594940.0,-7058.0,1716327.0,1587882.0,308650.0,180204.0,23837.0,23739.0,21962.0,17497.0
1982-83   ,1487737.0,118567.0,1606304.0,123207.0,1483097.0,-6364.0,1599940.0,1476733.0,289067.0,165860.0,22688.0,22598.0,20858.0,16581.0
1981-82   ,1445465.0,106883.0,1552348.0,116845.0,1435504.0,-1844.0,1550504.0,1433659.0,280613.0,163769.0,22433.0,22406.0,20718.0,16796.0
1980-81   ,1368481.0,95913.0,1464394.0,111459.0,1352935.0,-4.0,1464390.0,1352931.0,296885.0,185426.0,21567.0,21567.0,19925.0,16404.0
1979-80   ,1276924.0,95056.0,1371980.0,105938.0,1266042.0,-519.0,1371460.0,1265522.0,273463.0,167526.0,20662.0,20655.0,19059.0,15390.0
1978-79   ,1346987.0,100832.0,1447819.0,101188.0,1346631.0,-2790.0,1445029.0,1343841.0,309462.0,208274.0,22343.0,22300.0,20738.0,16131.0
1977-78   ,1276734.0,92847.0,1369581.0,97302.0,1272279.0,-2927.0,1366655.0,1269352.0,260056.0,162754.0,21602.0,21556.0,20021.0,15538.0
1976-77   ,1187992.0,88950.0,1276942.0,93511.0,1183431.0,-3506.0,1273436.0,1179925.0,222975.0,129464.0,20596.0,20539.0,19031.0,14691.0
1975-76   ,1173327.0,82726.0,1256053.0,88174.0,1167879.0,-3813.0,1252240.0,1164066.0,188515.0,100341.0,20693.0,20630.0,19177.0,14712.0
1974-75   ,1076403.0,74357.0,1150759.0,84080.0,1066679.0,-4420.0,1146339.0,1062259.0,209619.0,125539.0,19406.0,19331.0,17913.0,14250.0
1973-74   ,1064051.0,73228.0,1137279.0,79511.0,1057768.0,-5646.0,1131633.0,1052122.0,220994.0,141482.0,19608.0,19511.0,18140.0,14581.0
1972-73   ,1017730.0,83265.0,1100995.0,76342.0,1024654.0,-6200.0,1094795.0,1018453.0,185024.0,108682.0,19418.0,19309.0,17962.0,14558.0
1971-72   ,1020982.0,86138.0,1107121.0,73541.0,1033580.0,-6758.0,1100363.0,1026822.0,193907.0,120366.0,19984.0,19862.0,18535.0,14800.0
1970-71   ,1010777.0,78449.0,1089226.0,70584.0,1018642.0,-6885.0,1082340.0,1011757.0,178945.0,108361.0,20134.0,20006.0,18702.0,14867.0
1969-70   ,962522.0,73285.0,1035807.0,63951.0,971856.0,-6656.0,1029151.0,965200.0,179241.0,115291.0,19580.0,19455.0,18246.0,14704.0
1968-69   ,903636.0,68590.0,972226.0,60130.0,912096.0,-6212.0,966014.0,905884.0,161422.0,101293.0,18769.0,18649.0,17488.0,14479.0
1967-68   ,880654.0,59713.0,940367.0,57222.0,883145.0,-6517.0,933850.0,876628.0,164821.0,107599.0,18584.0,18456.0,17325.0,14443.0
1966-67   ,814380.0,57735.0,872116.0,53866.0,818250.0,-5297.0,866818.0,812952.0,171965.0,118099.0,17618.0,17511.0,16423.0,13973.0
1965-66   ,806176.0,66423.0,872598.0,50625.0,821974.0,-5434.0,867165.0,816540.0,164177.0,113553.0,17992.0,17880.0,16836.0,14078.0
1964-65   ,836759.0,59462.0,896221.0,48355.0,847865.0,-5110.0,891111.0,842755.0,148735.0,100379.0,18908.0,18800.0,17780.0,14392.0
1963-64   ,777773.0,56286.0,834059.0,45448.0,788611.0,-3987.0,830072.0,784625.0,134719.0,89271.0,17975.0,17889.0,16910.0,13874.0
1962-63   ,740293.0,46597.0,786890.0,43422.0,743468.0,-3959.0,782931.0,739509.0,125419.0,81997.0,17332.0,17245.0,16289.0,13671.0
1961-62   ,724957.0,39525.0,764482.0,41445.0,723036.0,-3444.0,761038.0,719592.0,109827.0,68381.0,17218.0,17140.0,16207.0,13799.0
1960-61   ,703138.0,33906.0,737044.0,39897.0,697147.0,-2578.0,734466.0,694569.0,110985.0,71088.0,16983.0,16923.0,16004.0,13880.0
1959-60   ,656648.0,41996.0,698644.0,40064.0,658580.0,-2156.0,696488.0,656423.0,94483.0,54418.0,16400.0,16349.0,15409.0,13380.0
1958-59   ,642587.0,38189.0,680776.0,39122.0,641653.0,-1220.0,679555.0,640433.0,89839.0,50717.0,16286.0,16257.0,15321.0,13483.0
1957-58   ,597260.0,36667.0,633927.0,37098.0,596829.0,-887.0,633039.0,595941.0,96538.0,59440.0,15499.0,15478.0,14571.0,12621.0
1956-57   ,604570.0,31974.0,636544.0,36226.0,600318.0,-582.0,635962.0,599736.0,106610.0,70384.0,15874.0,15859.0,14956.0,13132.0
1955-56   ,572009.0,30902.0,602911.0,35037.0,567874.0,-374.0,602537.0,567499.0,83080.0,48042.0,15341.0,15332.0,14440.0,12832.0
1954-55   ,557724.0,26287.0,584011.0,34612.0,549399.0,-1005.0,583005.0,548393.0,67997.0,33385.0,15130.0,15104.0,14207.0,12941.0
1953-54   ,535010.0,22193.0,557203.0,42056.0,515148.0,-659.0,556545.0,514489.0,58442.0,16386.0,14702.0,14685.0,13575.0,12761.0
1952-53   ,504315.0,20604.0,524919.0,43391.0,481528.0,-797.0,524122.0,480731.0,53882.0,10491.0,14111.0,14089.0,12923.0,12264.0
1951-52   ,490399.0,21091.0,511489.0,45019.0,466471.0,-985.0,510505.0,465486.0,70768.0,25749.0,14013.0,13986.0,12753.0,12014.0
1950-51   ,479210.0,17638.0,496848.0,46792.0,450057.0,-1574.0,495274.0,448483.0,59155.0,12363.0,13840.0,13796.0,12493.0,11485.0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
